timestamp,benchmark_name,allocator,commit_hash,error_message,samples_taken,wall_time_median,wall_time_mean,wall_time_min,wall_time_max,utime_median,utime_mean,utime_min,utime_max,stime_median,stime_mean,stime_min,stime_max,maxrss,baseline_error_message,baseline_samples_taken,baseline_wall_time_median,baseline_wall_time_mean,baseline_wall_time_min,baseline_wall_time_max,baseline_utime_median,baseline_utime_mean,baseline_utime_min,baseline_utime_max,baseline_stime_median,baseline_stime_mean,baseline_stime_min,baseline_stime_max,baseline_maxrss
1589853026261,stage1-behavior-tests,std_gpa,fe28d732710b916695c6926a06aad0cc93156516,,4,2523139387,2521386644,2519633902,2523139387,2280925000,2271364500,2261804000,2280925000,250838000,250488500,250139000,250838000,858920,,4,2547680573,2541952452,2536224332,2547680573,2307752000,2304132000,2300512000,2307752000,248672000,243733500,238795000,248672000,858208
1589853026261,stage1-std-tests,std_gpa,fe28d732710b916695c6926a06aad0cc93156516,,3,20767586677,20767586677,20767586677,20767586677,19319570000,19319570000,19319570000,19319570000,1363022000,1363022000,1363022000,1363022000,5123996,,3,21104986860,21104986860,21104986860,21104986860,19725130000,19725130000,19725130000,19725130000,1392439000,1392439000,1392439000,1392439000,5122028
1589853026261,self-hosted-parser,libc,fe28d732710b916695c6926a06aad0cc93156516,,28,358190412,359087992,357117367,373394064,342966000,342612230,336508000,347289000,16013000,16387653,12010000,21007000,342212,,27,371622883,371639086,369598877,375833207,355201000,355368400,351614000,360029000,16018000,16527080,13001000,21005000,341412
1589853026261,self-hosted-parser,std_gpa,fe28d732710b916695c6926a06aad0cc93156516,,26,385851550,386007529,384759788,387605130,344232000,343133875,332369000,352241000,42971000,42935041,36027000,52988000,346428,,27,383763290,383810513,383319097,384690784,342396000,341630440,332539000,348735000,42027000,42219840,35015000,51056000,345772
1589853593015,stage1-behavior-tests,std_gpa,1cde0edff469fbe5ee62cb10a44161b4c9910f98,,4,2688045247,2686988964,2685932681,2688045247,2437482000,2434928000,2432374000,2437482000,261777000,257787500,253798000,261777000,858840,,4,2522375088,2512056427,2501737767,2522375088,2293539000,2277936500,2262334000,2293539000,252203000,250381500,248560000,252203000,858292
1589853593015,stage1-std-tests,std_gpa,1cde0edff469fbe5ee62cb10a44161b4c9910f98,,3,20455259069,20455259069,20455259069,20455259069,19120179000,19120179000,19120179000,19120179000,1342974000,1342974000,1342974000,1342974000,5126972,,3,21197966852,21197966852,21197966852,21197966852,19792637000,19792637000,19792637000,19792637000,1405013000,1405013000,1405013000,1405013000,5121928
1589853593015,self-hosted-parser,libc,1cde0edff469fbe5ee62cb10a44161b4c9910f98,,27,374559347,374798607,373494684,378041643,358026000,357893800,353603000,361552000,17003000,17247120,13016000,24012000,341992,,27,371151082,371885904,369475445,387714969,356123000,356169840,352113000,362667000,15996000,15602640,11999000,18008000,341492
1589853593015,self-hosted-parser,std_gpa,1cde0edff469fbe5ee62cb10a44161b4c9910f98,,25,414417327,414557131,413411330,415915287,370638000,370168913,358375000,380288000,44002000,44450652,35021000,56033000,346476,,25,409602734,409876816,408241663,415748226,367556000,366737217,356144000,375067000,42021000,43365434,36987000,53037000,345628
1589910966,stage1-behavior-tests,std_gpa,ed137d25ef0fb94f2ea0db4f993a0adfcaf63b58,,4,2554036900,2553227160,2552417420,2554036900,2338928000,2327489000,2316050000,2338928000,241896000,238068500,234241000,241896000,858740,,5,2494843232,2489886448,2478274057,2496542056,2249860000,2254048666,2248912000,2263374000,237599000,238491000,234914000,242960000,858208
1589910966,stage1-std-tests,std_gpa,ed137d25ef0fb94f2ea0db4f993a0adfcaf63b58,,3,22111332897,22111332897,22111332897,22111332897,20641408000,20641408000,20641408000,20641408000,1434816000,1434816000,1434816000,1434816000,5126940,,3,21610449332,21610449332,21610449332,21610449332,20243476000,20243476000,20243476000,20243476000,1398447000,1398447000,1398447000,1398447000,5122052
1589910966,self-hosted-parser,libc,ed137d25ef0fb94f2ea0db4f993a0adfcaf63b58,,28,366108917,365452268,358326349,375918841,347976000,348453769,341489000,357282000,17005000,16892269,12006000,22002000,342012,,28,365181701,366814936,361846076,379584395,348191000,349333769,343137000,362556000,17995000,17470807,13013000,22014000,341604
1589910966,self-hosted-parser,std_gpa,ed137d25ef0fb94f2ea0db4f993a0adfcaf63b58,,26,392202785,394450445,390231023,403023175,353143000,352009708,343783000,360753000,43028000,42737041,35033000,49991000,346496,,25,408420796,411447406,406205985,424428167,364261000,365271130,354378000,381453000,47010000,46395739,35003000,55035000,345448
1589930076,stage1-behavior-tests,std_gpa,70239802c9f98aa2a7bc9bd87046d1b64deceedb,,5,2473782153,2473288328,2469956797,2476126034,2244161000,2247573333,2235573000,2262986000,233824000,232551333,224413000,239417000,858920,,5,2456714577,2459018320,2454138823,2466201561,2249544000,2245762000,2230839000,2256903000,212480000,215771666,211121000,223714000,858212
1589930076,stage1-std-tests,std_gpa,70239802c9f98aa2a7bc9bd87046d1b64deceedb,,3,20554634049,20554634049,20554634049,20554634049,19264089000,19264089000,19264089000,19264089000,1343831000,1343831000,1343831000,1343831000,5126992,,3,21451997700,21451997700,21451997700,21451997700,20085439000,20085439000,20085439000,20085439000,1371923000,1371923000,1371923000,1371923000,5121980
1589930076,self-hosted-parser,libc,70239802c9f98aa2a7bc9bd87046d1b64deceedb,,29,355709841,355926567,354948570,359531846,339517000,339878111,336640000,345421000,16017000,16264111,12996000,19012000,342052,,28,357312284,357787925,356213817,365741590,341329000,341368846,336667000,345590000,16011000,16276230,13001000,21001000,341468
1589930076,self-hosted-parser,std_gpa,70239802c9f98aa2a7bc9bd87046d1b64deceedb,,26,394343625,394505354,393719801,395914779,349716000,350059833,341858000,357703000,44977000,44728583,36994000,53009000,346800,,25,410063262,410103199,408513340,411592231,367590000,367804086,359601000,376802000,41014000,42301956,33013000,49981000,345280
1589930076,translate-c-windows-h,std_gpa,70239802c9f98aa2a7bc9bd87046d1b64deceedb,,8,1306121149,1272459239,1229693914,1317099668,1247712000,1212871333,1172263000,1252301000,57986000,59170166,57000000,66030000,257744,,8,1263702517,1260253792,1254405501,1266811300,1206262000,1204011333,1194877000,1210198000,56963000,55999000,54008000,58019000,257904
1589995550,translate-c-windows-h,std_gpa,64955deb72bf0aeaa551056cf3adf8442f82eccc,,8,1284733218,1287428864,1276390797,1311476341,1226331000,1228593666,1220972000,1248949000,59015000,59003666,54999000,64997000,257624,,8,1260285641,1253765290,1238307658,1263276810,1193834000,1191090666,1181665000,1197902000,64995000,61497666,55957000,66020000,257916
1589995550,stage1-behavior-tests,std_gpa,64955deb72bf0aeaa551056cf3adf8442f82eccc,,4,2527386697,2523129163,2518871629,2527386697,2288768000,2287917000,2287066000,2288768000,245424000,239588500,233753000,245424000,858836,,4,2599769240,2558429117,2517088994,2599769240,2343520000,2321653000,2299786000,2343520000,249691000,243023000,236355000,249691000,858180
